1,provide,"제공하다, 공급하다, 준비하다"
1,develop,"개발하다, 발달[발전]하다"
1,cultural,"문화의, 문화적인"
1,inform,"알리다, 통지하다"
1,social,"사회의, 사교적인"
1,improve,"향상시키다, 향상하다"
1,individual,"개인; 개인의, 개인적인"
1,require,"필요로 하다, 요구하다"
1,volunteer,"자원봉사, 지원자; 자원하다"
1,behave,(예의 바르게) 행동하다
1,amount,"총액, 총계, 액수, 양; 총계가 ~이 되다"
1,relationship,관계
1,employ,"고용하다, (기술.방법 등을) 쓰다"
1,attitude,"태도, 입장"
1,research,"연구; 연구하다, 조사하다"
1,audience,"청중, 관객"
1,challenge,"도전, 난제; 도전하다"
1,influence,"영향, 영향을 미치는 것[사람]; 영향을 끼치다"
1,material,"자료, 재료, 물질"
1,opportunity,기회
1,environment,환경
1,expense,"비용, 지출"
1,local,"지방의, 지역의, 장소의"
1,involve,"포함하다, 관련되다, (사건 등에) 말려들게 하다"
1,stress,"스트레스, 강조; 강조하다, 압력을 주다"
1,therefore,"그러므로, 그 결과"
1,contain,"함유하다, 포함하다, 억제하다"
1,average,평균; 평균의; 평균 ~이다
1,ride,"(탈것을) 타다; 타기, 타고 가기"
1,encourage,"촉구하다, 격려하다"
1,determine,"결정하다, 결심하다"
1,international,"국제의, 국제적인"
1,consume,"소비하다, 먹다[마시다]"
1,impress,"깊은 인상을 주다, 감동시키다"
1,object,"물체, 목표; 반대하다"
1,available,"이용 가능한, 쓸모 있는"
1,positive,"긍정적인, 확신하는"
1,recognize,"인지하다, 인정하다"
1,commodity,"상품, 물품"
1,comfort,"편안하게 하다, 위로하다; 편안, 위로"
2,emotion,감정
2,amaze,놀라게 하다
2,reduce,"줄이다, 낮추다"
2,discover,발견하다
2,decide,"결심하다, 결정하다"
2,benefit,이익; 이익이 되다
2,affect,"영향을 미치다, ~인 체하다"
2,level,"수준, 수평; 수평의; 평평하게 하다"
2,chemistry,"화학, 교감"
2,immediate,"즉각적인, 가까이에 있는"
2,thus,"그러므로, 따라서"
2,proper,"적절한, 알맞은"
2,performance,"공연, 성적, 성과"
2,essence,"(사물의) 본질, 정수"
2,economic,"경제의, 경제학의"
2,cell,"세포, 작은 방, 독방"
2,focus,"초점; 초점을 맞추다, 집중하다"
2,issue,"화제, 문제, 발행(물); 발행하다"
2,participate,"참여하다, 참가하다 (in)"
2,demand,요구하다; 수요
2,occur,"(사건이) 일어나다, 발생하다"
2,complex,복잡한; 복합체
2,define,"정의하다, 한계 짓다, 한정하다"
2,proud,"자랑스러워하는, 자만하는"
2,aware,"인지하는, 알고 있는"
2,contact,접촉; 접촉하다
2,profession,"전문직, 직종"
2,detail,세부적인 것; 상술하다
2,approach,"접근하다; 접근, 접근법"
2,career,"직업, 경력"
2,package,"꾸러미, 포장; 포장하다"
2,disappear,사라지다
2,novel,(장편) 소설; 참신한
2,secure,"안전한; 안전하게 하다, 확보하다"
2,function,"기능; 기능하다, 작용하다"
2,despite,~에도 불구하고
2,background,"배경, 배경 지식, 이유"
2,solution,"해결, 해결책, 용액"
2,generate,"일으키다, 발생시키다"
2,eventually,결국
3,decrease,"줄다[감소하다], 줄이다; 감소"
3,recycle,재활용하다
3,desire,"욕망, 욕구; 바라다"
3,balance,"균형, 은행 잔고; 균형을 이루다"
3,negative,부정적인
3,follow,"따라가다, (규칙을) 따르다"
3,account,"은행 계좌, 이야기, 설명; 설명하다"
3,publish,"발표하다, 출판하다"
3,occasion,"경우, 특별한 일"
3,replace,대체하다
3,constant,"일정한, 불변의; (수학에서의) 상수"
3,expert,전문가
3,term,"용어, 기간, 학기"
3,relieve,"경감하다, 안도시키다"
3,describe,"묘사하다, 표현하다"
3,congratulate,축하하다
3,due,"만기의, ~하기로 되어 있는"
3,equipment,"장치, 장비"
3,biology,생물학
3,imagine,상상하다
3,compose,"구성하다, 작곡하다, 작문하다"
3,genius,"천재, 천재성"
